word	file	lines
Ai	README.md	261
Ai	README.Rmd	183
Arxiv	README.md	274
Arxiv	README.Rmd	190
ArXiv	README.md	274
ArXiv	README.Rmd	190
Hipaa	README.md	267
Hipaa	README.Rmd	186
HIPAA	README.md	267
HIPAA	README.Rmd	186
Llm	README.md	269
Llm	README.Rmd	187
LLM	README.md	269
LLM	README.Rmd	187
Nih	README.md	265
Nih	README.Rmd	185
Pii	README.md	272
Pii	README.Rmd	189
PII	README.md	272
PII	README.Rmd	189
pre	README.md	327
pre	README.Rmd	217
PREREQ	README.md	327
PREREQ	README.Rmd	217
Reproducibility	README.md	278,280,282
Reproducibility	README.Rmd	193,194,195
reqs	README.md	126
reqs	README.Rmd	99
Rmarkdown	README.md	58
Rmarkdown	README.Rmd	52
tabset	ai_course_template.Rmd	5
