name	homepage	GithubLink	description	Concepts	is_itn	is_course	is_template	BroadAudience	Category	hutch_funding	CourseName	BookdownLink	CourseraLink	LeanpubLink
Choosing_Genomics_Tools	http://hutchdatascience.org/Choosing_Genomics_Tools/	https://github.com/fhdsl/Choosing_Genomics_Tools	Based on their genomic data types and goals, this course will help learners find educational resources and tools to help them process and interpret data.	data-interpretation;data-processing;genomic-data;launched-aug2023;resources-and-tools	TRUE	TRUE	FALSE	Researchers	Tools & Resources	FALSE	Choosing Genomics Tools	https://hutchdatascience.org/Choosing_Genomics_Tools/	https://www.coursera.org/specializations/researchers-guide-to-omic-data/	NA
AI_for_Efficient_Programming	https://hutchdatascience.org/AI_for_Efficient_Programming/	https://github.com/fhdsl/AI_for_Efficient_Programming	This course on AI for software development explores the use of AI large language models (ChatGPT, Bard, etc) and their potential benefits and challenges. Hands-on activities show the ways in which AI can speed up software development tasks and free up time for more creative and strategic work, maximizing benefits/efficiency while limiting harm.	ai-uses;annotate-code;artificial-intelligence;chatbot;ethics;launched-apr2023;learn-ai;llm;refactor-code;software-learning;understand-code;write-code	TRUE	TRUE	FALSE	Software Developers;Researchers	Software Development	TRUE	AI for Efficient Programming	https://hutchdatascience.org/AI_for_Efficient_Programming	https://www.coursera.org/learn/ai-for-software-development	https://leanpub.com/courses/fredhutch/ai_for_software
Adv_Reproducibility_in_Cancer_Informatics	https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics	https://github.com/jhudsl/Adv_Reproducibility_in_Cancer_Informatics	This course introduces more advanced tools to increase the reproducibility of data analyses; building upon the Intro to Reproducibility course. GitHub, Docker, Code Review, and GitHub actions are discussed.	code-review;docker;github;github-actions;launched-jan2022;python;r;reproducibility;version-control	TRUE	TRUE	FALSE	Software Developers;Researchers	Best Practices	FALSE	Advanced Reproducibility in Cancer Informatics	https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/	https://www.coursera.org/learn/adv-reproducibility-cancer-informatics	https://leanpub.com/universities/courses/jhu/adv-reproducibility-in-cancer-informatics
Computing_for_Cancer_Informatics	https://jhudatascience.org/Computing_for_Cancer_Informatics	https://github.com/jhudsl/Computing_for_Cancer_Informatics	This course is designed to help investigators understand more about computing basics, as well as familiarize researchers with various computing platform options.	capacity;cloud-computing;computing;etiquette;hardware;informatics;launched-aug2023;local-computing;resource-needs;shared-computing;software	TRUE	TRUE	FALSE	Researchers	Tools & Resources	FALSE	Computing for Cancer Informatics	https://jhudatascience.org/Computing_for_Cancer_Informatics/	https://www.coursera.org/learn/computing-for-cancer-informatics	https://leanpub.com/universities/courses/jhu/cancer-informatics-computing
Informatics_Research_Leadership	https://jhudatascience.org/Informatics_Research_Leadership/	https://github.com/jhudsl/Informatics_Research_Leadership	This course covers the pitfalls of informatics research and discusses best practices and tools to overcome the challenges of working with and managing multidisciplinary teams. It also covers guidelines to promote diversity and inclusion in your lab and research.	diversity;health-equity;inclusivity;informatics;launched-jan2022;leadership;multidisciplinary-teams;research-management;support-mentees	TRUE	TRUE	FALSE	Leaders;Researchers	Best Practices	FALSE	Leadership for Cancer Informatics Research	https://jhudatascience.org/Informatics_Research_Leadership/	https://www.coursera.org/learn/leadership-for-cancer-informatics-research	https://leanpub.com/universities/courses/jhu/cancer-informatics-for-research-leaders
Reproducibility_in_Cancer_Informatics	https://jhudatascience.org/Reproducibility_in_Cancer_Informatics/	https://github.com/jhudsl/Reproducibility_in_Cancer_Informatics	This course introduces the concepts of reproducibility and replicability in the context of cancer informatics. It is the first course in a two part course on reproducibility. It uses hands-on exercises to demonstrate in practical terms how to increase the reproducibility of data analyses.	code-review;data-science;github;informatics;launched-dec2021;notebooks;open-source;organization;package-versions;python;r;reproducibility	TRUE	TRUE	FALSE	Researchers	Best Practices	FALSE	Intro to Reproducibility in Cancer Informatics	https://jhudatascience.org/Reproducibility_in_Cancer_Informatics/	https://www.coursera.org/learn/intro-to-reproducibility-cancer-informatics	https://leanpub.com/universities/courses/jhu/intro-to-reproducibility-in-cancer-informatics
Documentation_and_Usability	https://jhudatascience.org/Documentation_and_Usability/	https://github.com/jhudsl/Documentation_and_Usability	This course covers the basics of creating documentation and tutorials to maximize the usability of informatics tools. It is meant for individuals developing tools for informatics.	documentation;launched-aug2021;software-development;usability;user-feedback;user-friendly	TRUE	TRUE	FALSE	Software Developers	Software Development	FALSE	Documentation and Usability	https://jhudatascience.org/Documentation_and_Usability	https://www.coursera.org/learn/documentation-usability-cancer-informatics	https://leanpub.com/universities/courses/jhu/documentation_and_usability/
Overleaf_and_LaTeX_for_Scientific_Articles	https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/	https://github.com/fhdsl/Overleaf_and_LaTeX_for_Scientific_Articles	This course is designed to help researchers and trainees write scientific articles using LaTeX and Overleaf.	arxiv;collaboration;getting-help;latex;launched-aug2023;overleaf;scientific-publications;templates;typesetting	TRUE	TRUE	FALSE	Leaders;Researchers	Tools & Resources	FALSE	Write Smarter with Overleaf and LaTeX	https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/	https://www.coursera.org/learn/overleafandlatex/	https://leanpub.com/courses/fredhutch/overleaf_intro
Ethical_Data_Handling_for_Cancer_Research	https://hutchdatascience.org/Ethical_Data_Handling_for_Cancer_Research/	https://github.com/fhdsl/Ethical_Data_Handling_for_Cancer_Research	This course is designed to help researchers and investigators understand the key principles of data management from an ethics, privacy, security, usability and discoverability perspective. 	current-concerns;data-sharing;de-identification;ethics;hipaa;launched-aug2023;personal-identifiable-information-pii;privacy;protected-health-information-phi;risk;security	TRUE	TRUE	FALSE	Leaders;Researchers	Best Practices	FALSE	Ethical Data Handling	https://hutchdatascience.org/Ethical_Data_Handling_for_Cancer_Research/	https://www.coursera.org/learn/ethical-data-handling	https://leanpub.com/courses/fredhutch/ethical_data_handling/
GitHub_Automation_for_Scientists	http://hutchdatascience.org/GitHub_Automation_for_Scientists/	https://github.com/fhdsl/GitHub_Automation_for_Scientists	This course walks through why's and the how's for using automation to boost scientific software development process.	activities;automation;github-actions;launched-nov2023;templates;troubleshooting	TRUE	TRUE	FALSE	Software Developers	Software Development	FALSE	GitHub Automation for Scientists	http://hutchdatascience.org/GitHub_Automation_for_Scientists/	https://www.coursera.org/learn/smarter-scientific-software-development-with-github-actions	https://leanpub.com/courses/fredhutch/github-automation-for-scientists
